C0 (15146 genes)
Genes
0610009B22Rik
0610009L18Rik
0610010F05Rik
0610012G03Rik
0610025J13Rik
0610038B21Rik
0610039K10Rik
0610040B10Rik
0610040J01Rik
1110002E22Rik
1110006O24Rik
1110012L19Rik
1110017D15Rik
1110032A03Rik
1110032F04Rik
1110038F14Rik
1110051M20Rik
1110057P08Rik
1110059G10Rik
1110065P20Rik
1190002N15Rik
1190007I07Rik
1300017J02Rik
1500002C15Rik
1500002F19Rik
1500009C09Rik
1500015L24Rik
1500015O10Rik
1500035N22Rik
1520401A03Rik
1600002K03Rik
1600012H06Rik
1600014C23Rik
1600015I10Rik
1600029O15Rik
1700001C02Rik
1700001C19Rik
1700001G17Rik
1700001J03Rik
1700001J11Rik
1700001K19Rik
1700001K23Rik
1700001L05Rik
1700001L19Rik
1700001O22Rik
1700001P01Rik
1700003E16Rik
1700003F12Rik
1700003H04Rik
1700003O11Rik
1700006A11Rik
1700006J14Rik
1700007K13Rik
1700008J07Rik
1700008O03Rik
1700008P02Rik
1700009J07Rik
1700009N14Rik
1700010B08Rik
1700010D01Rik
1700010I14Rik
1700010L04Rik
1700011L22Rik
1700012A03Rik
1700012B07Rik
1700012B09Rik
1700012P22Rik
1700013D24Rik
1700013F07Rik
1700013G24Rik
1700013H16Rik
1700016C15Rik
1700016D06Rik
1700016H13Rik
1700016K19Rik
1700017D01Rik
1700017G19Rik
1700017N19Rik
1700018A04Rik
1700018B08Rik
1700018B24Rik
1700018F24Rik
1700019A02Rik
1700019D03Rik
1700019M22Rik
1700019N19Rik
1700020A23Rik
1700020D05Rik
1700020L24Rik
1700020N01Rik
1700021F05Rik
1700021F07Rik
1700022A21Rik
1700022I11Rik
1700023F06Rik
1700024G13Rik
1700024P04Rik
1700025F22Rik
1700025G04Rik
1700028I16Rik
1700028J19Rik
1700028P14Rik
1700029F12Rik
1700029H14Rik
1700029I15Rik
1700029J07Rik
1700029M20Rik
1700029P11Rik
1700030J22Rik
1700031F05Rik
1700031F10Rik
1700031M16Rik
1700034E13Rik
1700034H15Rik
1700034I23Rik
1700034J05Rik
1700037H04Rik
1700048O20Rik
1700049J03Rik
1700049L16Rik
1700052K11Rik
1700055D18Rik
1700056E22Rik
1700057G04Rik
1700061G19Rik
1700061I17Rik
1700063H04Rik
1700065D16Rik
1700066B19Rik
1700066M21Rik
1700067K01Rik
1700067P10Rik
1700069L16Rik
1700071K01Rik
1700073E17Rik
1700074P13Rik
1700080E11Rik
1700080O16Rik
1700084E18Rik
1700084J12Rik
1700086D15Rik
1700086L19Rik
1700086O06Rik
1700088E04Rik
1700093K21Rik
1700102P08Rik
1700109H08Rik
1700113H08Rik
1700116B05Rik
1700120K04Rik
1700122O11Rik
1700123K08Rik
1700123L14Rik
1700123O20Rik
1700125H20Rik
1700128E19Rik
1700128F08Rik
1700129C05Rik
1810010D01Rik
1810010H24Rik
1810013D15Rik
1810022K09Rik
1810024B03Rik
1810032O08Rik
1810034E14Rik
1810037I17Rik
1810043G02Rik
1810055G02Rik
1810062G17Rik
1810062O18Rik
1810064F22Rik
1810065E05Rik
2010003K11Rik
2010005H15Rik
2010016I18Rik
2010106E10Rik
2010109A12Rik
2010109I03Rik
2010111I01Rik
2010204K13Rik
2010300C02Rik
2200002D01Rik
2200002J24Rik
2210010C04Rik
2210011C24Rik
2210016F16Rik
2210406O10Rik
2210407C18Rik
2210408I21Rik
2210409E12Rik
2300002M23Rik
2300009A05Rik
2310001K24Rik
2310002L09Rik
2310007B03Rik
2310011J03Rik
2310015D24Rik
2310016G11Rik
2310022A10Rik
2310022B05Rik
2310030G06Rik
2310034C09Rik
2310034G01Rik
2310039H08Rik
2310057J18Rik
2310057M21Rik
2310057N15Rik
2310061I04Rik
2310061N02Rik
2310067E19Rik
2310068J16Rik
2310079G19Rik
2410004B18Rik
2410004P03Rik
2410015M20Rik
2410018L13Rik
2410022M11Rik
2410080I02Rik
2410124H12Rik
2410131K14Rik
2410137M14Rik
2510009E07Rik
2610001J05Rik
2610002M06Rik
2610008E11Rik
2610028H24Rik
2610206C17Rik
2610301B20Rik
2610318M16Rik
2610318N02Rik
2610528A11Rik
2610528J11Rik
2700046A07Rik
2700046G09Rik
2700049A03Rik
2700062C07Rik
2700081O15Rik
2700097O09Rik
2810002D19Rik
2810004N23Rik
2810006K23Rik
2810021J22Rik
2810025M15Rik
2810032G03Rik
2810408A11Rik
2810410L24Rik
2810459M11Rik
2900005J15Rik
2900011O08Rik
2900026A02Rik
2900041M22Rik
2900052L18Rik
2900055J20Rik
2900060B14Rik
2900092C05Rik
3000002C10Rik
3010003L21Rik
3110009E18Rik
3110021A11Rik
3110039I08Rik
3110040M04Rik
3110040N11Rik
3110053B16Rik
3110070M22Rik
3110082I17Rik
3110082J24Rik
3222401L13Rik
3300002A11Rik
3300002I08Rik
3425401B19Rik
3830403N18Rik
3830406C13Rik
3830408C21Rik
3830417A13Rik
3930402G23Rik
4430402I18Rik
4631405J19Rik
4632404H12Rik
4632415L05Rik
4632433K11Rik
4732465J04Rik
4732471J01Rik
4833422C13Rik
4833423E24Rik
4833427G06Rik
4921501E09Rik
4921504E06Rik
4921507P07Rik
4921508D12Rik
4921509C19Rik
4921511C20Rik
4921513I03Rik
4921517D22Rik
4921524J17Rik
4921524L21Rik
4921530L21Rik
4921533I20Rik
4921536K21Rik
4921539E11Rik
4922502B01Rik
4922502D21Rik
4930402F06Rik
4930402H24Rik
4930402K13Rik
4930404N11Rik
4930407I10Rik
4930412O13Rik
4930415L06Rik
4930415O20Rik
4930417O22Rik
4930421P07Rik
4930426L09Rik
4930429B21Rik
4930430A15Rik
4930430F08Rik
4930431F12Rik
4930432K21Rik
4930432M17Rik
4930433I11Rik
4930433N12Rik
4930435E12Rik
4930438A08Rik
4930442E04Rik
4930444G20Rik
4930444P10Rik
4930447A16Rik
4930447C04Rik
4930448K20Rik
4930449E01Rik
4930451E10Rik
4930451G09Rik
4930452B06Rik
4930453N24Rik
4930463O16Rik
4930465K10Rik
4930470H14Rik
4930470P17Rik
4930471G03Rik
4930473A02Rik
4930474M22Rik
4930474N05Rik
4930480E11Rik
4930483J18Rik
4930486L24Rik
4930502E18Rik
4930503B20Rik
4930503E24Rik
4930503H13Rik
4930503L19Rik
4930504O13Rik
4930505A04Rik
4930505N22Rik
4930506C21Rik
4930507D05Rik
4930512B01Rik
